gmDate,gmTime,seasTyp,playLNm,playFNm,teamAbbr,teamConf,teamDiv,teamLoc,teamRslt,teamDayOff,offLNm1,offFNm1,offLNm2,offFNm2,offLNm3,offFNm3,playDispNm,playStat,playMin,playPos,playHeight,playWeight,playBDate,playPTS,playAST,playTO,playSTL,playBLK,playPF,playFGA,playFGM,playFG%,play2PA,play2PM,play2P%,play3PA,play3PM,play3P%,playFTA,playFTM,playFT%,playORB,playDRB,playTRB,opptAbbr,opptConf,opptDiv,opptLoc,opptRslt,opptDayOff
2012-10-30,19:00,Regular,Price,A.J.,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,A.J. Price,Starter,29,PG,74,195,1986-10-07,7,6,1,0,0,1,13,2,0.1538,4,0,0.0,9,2,0.2222,1,1,1.0,1,1,2,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Ariza,Trevor,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Trevor Ariza,Starter,25,SG,80,200,1985-06-30,9,4,0,3,2,0,8,3,0.375,4,1,0.25,4,2,0.5,2,1,0.5,1,2,3,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Okafor,Emeka,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Emeka Okafor,Starter,25,C,82,255,1982-09-28,10,0,1,0,4,1,10,4,0.4,10,4,0.4,0,0,0.0,4,2,0.5,5,2,7,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Beal,Bradley,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Bradley Beal,Starter,22,SG,77,202,1993-06-28,8,3,2,1,0,1,8,2,0.25,4,0,0.0,4,2,0.5,2,2,1.0,0,3,3,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Booker,Trevor,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Trevor Booker,Starter,17,PF,79,240,1987-11-25,4,1,4,1,1,4,9,2,0.2222,8,2,0.25,1,0,0.0,0,0,0.0,1,0,1,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Crawford,Jordan,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Jordan Crawford,Bench,29,SG,76,195,1988-10-23,11,5,1,1,1,1,13,4,0.3077,7,4,0.5714,6,0,0.0,4,3,0.75,1,2,3,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Webster,Martell,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Martell Webster,Bench,23,SG,81,210,1986-12-04,9,1,0,2,0,1,6,4,0.6667,3,3,1.0,3,1,0.3333,0,0,0.0,0,3,3,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Vesely,Jan,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Jan Vesely,Bench,21,SF,83,235,1990-04-24,7,1,1,0,1,3,4,3,0.75,4,3,0.75,0,0,0.0,4,1,0.25,3,1,4,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Singleton,Chris,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Chris Singleton,Bench,17,SF,80,225,1989-11-21,4,2,1,2,0,2,7,2,0.2857,6,2,0.3333,1,0,0.0,0,0,0.0,2,2,4,CLE,East,Central,Home,Win,0
2012-10-30,19:00,Regular,Barron,Earl,WAS,East,Southeast,Away,Loss,0,Brothers,Tony,Smith,Michael,Workman,Haywoode,Earl Barron,Bench,16,PF,84,250,1981-08-14,8,0,0,1,1,2,6,4,0.6667,6,4,0.6667,0,0,0.0,1,0,0.0,4,4,8,CLE,East,Central,Home,Win,0
